feature,importance
medical_specialty_Psychiatry_Child_Adolescent,0.0
medical_specialty_Dermatology,0.0
diag_1_category_External_causes_of_injury,0.0
medical_specialty_Pediatrics_InfectiousDiseases,0.0
medical_specialty_Pediatrics_Hematology_Oncology,0.0
medical_specialty_Endocrinology_Metabolism,0.0
medical_specialty_Oncology,0.0
medical_specialty_Pathology,0.0
medical_specialty_Obsterics_Gynecology_GynecologicOnco,0.0
medical_specialty_Anesthesiology_Pediatric,0.0
medical_specialty_Surgery_Plastic,0.0
medical_specialty_Podiatry,0.0
medical_specialty_Pediatrics_CriticalCare,0.0
medical_specialty_Psychiatry_Addictive,0.0
medical_specialty_Proctology,0.0
discharge_disposition_Discharged_transferred_referred_another_institution_for_outpatient_services,0.0
medical_specialty_Osteopath,0.0
medical_specialty_Speech,0.0
medical_specialty_Surgery_Colon_Rectal,0.0
medical_specialty_Endocrinology,0.0
medical_specialty_Pediatrics_Neurology,0.0
medical_specialty_Rheumatology,0.0
discharge_disposition_Discharged_transferred_to_home_under_care_of_Home_IV_provider,0.0
medical_specialty_OutreachServices,0.0
discharge_disposition_Discharged_transferred_to_a_nursing_facility_certified_under_Medicaid_but_not_certified_under_Medicare_,0.0
discharge_disposition_Discharged_transferred_referred_to_this_institution_for_outpatient_services,0.0
medical_specialty_PhysicianNotFound,0.0
medical_specialty_Dentistry,0.0
medical_specialty_InfectiousDiseases,0.0
medical_specialty_Neurophysiology,0.0
discharge_disposition_Still_patient_or_expected_to_return_for_outpatient_services,0.0
discharge_disposition_Expired_in_a_medical_facility_Medicaid_only_hospice_,0.0
medical_specialty_Resident,0.0
discharge_disposition_Neonate_discharged_to_another_hospital_for_neonatal_aftercare,0.0
diag_3_category_Diseases_of_the_blood_and_blood_forming_organs,0.0
diag_1_category_Congenital_anomalies,0.0
medical_specialty_Surgery_PlasticwithinHeadandNeck,0.0
medical_specialty_Cardiology_Pediatric,0.0
medical_specialty_Pediatrics_EmergencyMedicine,0.0
diag_2_category_External_causes_of_injury,0.0
medical_specialty_SurgicalSpecialty,0.0
discharge_disposition_Expired_at_home_Medicaid_only_hospice_,0.0
medical_specialty_Obstetrics,0.0
diag_3_category_Symptoms_signs_and_ill_defined_conditions,0.0
medical_specialty_SportsMedicine,0.0
diag_2_category_Diseases_of_the_nervous_system_and_sense_organs,0.0
medical_specialty_Radiology,0.0
medical_specialty_Pulmonology,0.0
medical_specialty_Surgery_Pediatric,0.0
